timestamp,commit_sha,scenario,dataset,storage_mode,n_nodes,n_edges,n_chunks,bytes_written,peak_rss_mb,rss_delta_mb,wall_time_ms
2026-04-22T06:55:00+00:00,v0.8.10-pypi,one_shot,synth500k,disk,500000,1000000,10,70273424,714.9,696.0,15612.2
2026-04-22T06:55:00+00:00,v0.8.10-pypi,incremental,synth500k,disk,500000,1000000,10,398447597,757.0,738.2,16455.1
2026-04-22T06:55:00+00:00,v0.8.10-pypi,mutation_stream,synth500k,disk,500000,1000000,10,67811547,717.2,0.0,198.4
2026-04-22T06:54:21+00:00,pr2-phase2,one_shot,synth500k,disk,500000,1000000,10,78273776,721.2,697.7,15932.7
2026-04-22T06:54:21+00:00,pr2-phase2,incremental,synth500k,disk,500000,1000000,10,442449161,764.6,741.1,16703.1
2026-04-22T06:54:21+00:00,pr2-phase2,mutation_stream,synth500k,disk,500000,1000000,10,75787558,310.1,241.4,208.0
2026-04-22T08:02:49+00:00,pr1-phase4,one_shot,synth500k,disk,500000,1000000,10,78273729,720.1,696.6,15497.2
2026-04-22T08:02:49+00:00,pr1-phase4,incremental,synth500k,disk,500000,1000000,10,442446212,630.7,607.3,16472.0
2026-04-22T08:02:49+00:00,pr1-phase4,mutation_stream,synth500k,disk,500000,1000000,10,75812803,310.1,241.4,202.2
2026-04-22T09:06:22+00:00,pr1-phase6,one_shot,synth500k,disk,500000,1000000,10,78273490,719.9,696.5,15661.8
2026-04-22T09:06:22+00:00,pr1-phase6,incremental,synth500k,disk,500000,1000000,10,442447741,763.3,739.8,17467.5
2026-04-22T09:06:22+00:00,pr1-phase6,mutation_stream,synth500k,disk,500000,1000000,10,75822382,310.1,241.4,208.2
2026-04-22T09:07:35+00:00,pr1-phase6,one_shot,synth500k,disk,500000,1000000,10,78273532,719.0,695.5,15811.1
2026-04-22T09:07:35+00:00,pr1-phase6,incremental,synth500k,disk,500000,1000000,10,442448365,762.9,739.3,16711.6
2026-04-22T09:07:35+00:00,pr1-phase6,mutation_stream,synth500k,disk,500000,1000000,10,75812066,310.2,241.3,205.2
2026-04-22T10:47:55+00:00,v0.8.11,one_shot,synth500k,disk,500000,1000000,10,77885327,722.2,698.7,15503.1
2026-04-22T10:47:55+00:00,v0.8.11,incremental,synth500k,disk,500000,1000000,10,428777665,754.5,731.0,16365.6
2026-04-22T10:47:55+00:00,v0.8.11,mutation_stream,synth500k,disk,500000,1000000,10,67441461,302.4,233.8,213.8
2026-04-22T16:52:51+00:00,v0.8.12-ph6,one_shot,synth500k,disk,500000,1000000,10,69885251,724.4,700.7,15631.7
2026-04-22T16:52:51+00:00,v0.8.12-ph6,incremental,synth500k,disk,500000,1000000,10,413588537,608.5,584.8,16288.6
2026-04-22T16:52:51+00:00,v0.8.12-ph6,mutation_stream,synth500k,disk,500000,1000000,10,59402574,288.0,219.1,223.8
